loc_id,am_trip_count,pm_trip_count,borough_name,zone_name,pm_minus_am,pm_am_ratio,pm_increase_pct
35,14897,10356,Brooklyn,Brownsville,-4541,0.6951735248707793,-30.482647512922068
36,7294,7281,Brooklyn,Bushwick North,-13,0.9982177131889224,-0.1782286811077598
37,18657,15821,Brooklyn,Bushwick South,-2836,0.8479927105108003,-15.200728948919975
38,2318,1231,Queens,Cambria Heights,-1087,0.5310612597066436,-46.893874029335635
39,19354,11252,Brooklyn,Canarsie,-8102,0.5813785264028107,-41.86214735971892
40,6588,3889,Brooklyn,Carroll Gardens,-2699,0.5903157255616271,-40.96842744383728
41,65131,75888,Manhattan,Central Harlem,10757,1.165159447881961,16.515944788196098
42,55558,48306,Manhattan,Central Harlem North,-7252,0.8694697433312935,-13.053025666870658
43,121654,322970,Manhattan,Central Park,201316,2.654824337876272,165.4824337876272
44,6,6,Staten Island,Charleston/Tottenville,0,1.0,0.0
45,16071,38083,Manhattan,Chinatown,22012,2.3696720801443596,136.96720801443593
46,168,290,Bronx,City Island,122,1.7261904761904763,72.61904761904762
47,4068,2843,Bronx,Claremont/Bathgate,-1225,0.6988692232055064,-30.11307767944936
48,226559,293573,Manhattan,Clinton East,67014,1.2957905004877317,29.57905004877317
49,13573,14231,Brooklyn,Clinton Hill,658,1.0484785972150592,4.847859721505931
50,95704,112402,Manhattan,Clinton West,16698,1.174475466020229,17.447546602022904
51,7497,3291,Bronx,Co-Op City,-4206,0.43897559023609445,-56.102440976390554
52,6410,5040,Brooklyn,Cobble Hill,-1370,0.7862714508580343,-21.37285491419657
53,1163,1177,Queens,College Point,14,1.0120378331900257,1.2037833190025795
54,2098,1203,Brooklyn,Columbia Street,-895,0.5734032411820782,-42.65967588179218
55,7449,5373,Brooklyn,Coney Island,-2076,0.7213048731373338,-27.869512686266614
56,4906,3099,Queens,Corona,-1807,0.6316754993885039,-36.832450061149615
57,167,186,Queens,Corona,19,1.1137724550898203,11.377245508982035
58,277,149,Bronx,Country Club,-128,0.5379061371841155,-46.20938628158845
59,135,88,Bronx,Crotona Park,-47,0.6518518518518519,-34.81481481481482
60,3480,1967,Bronx,Crotona Park East,-1513,0.5652298850574713,-43.47701149425288
61,31662,25016,Brooklyn,Crown Heights North,-6646,0.7900953824774177,-20.990461752258227
62,9839,7421,Brooklyn,Crown Heights South,-2418,0.7542433174103059,-24.575668258969408
63,7641,3981,Brooklyn,Cypress Hills,-3660,0.5210051040439733,-47.89948959560267
64,648,507,Queens,Douglaston,-141,0.7824074074074074,-21.75925925925926
65,13272,23276,Brooklyn,Downtown Brooklyn/MetroTech,10004,1.753767329716697,75.37673297166968
66,9351,21174,Brooklyn,DUMBO/Vinegar Hill,11823,2.2643567532884186,126.43567532884184
67,2193,1638,Brooklyn,Dyker Heights,-555,0.746922024623803,-25.3077975376197
68,221372,432200,Manhattan,East Chelsea,210828,1.9523697667274995,95.23697667274995
69,8872,5757,Bronx,East Concourse/Concourse Village,-3115,0.6488954012623985,-35.11045987376015
70,26124,47487,Queens,East Elmhurst,21363,1.8177537896187415,81.77537896187414
71,12908,8354,Brooklyn,East Flatbush/Farragut,-4554,0.6471955376510691,-35.280446234893084
72,14218,9032,Brooklyn,East Flatbush/Remsen Village,-5186,0.6352510901673935,-36.47489098326066
73,717,450,Queens,East Flushing,-267,0.6276150627615062,-37.238493723849366
74,62530,68004,Manhattan,East Harlem North,5474,1.0875419798496722,8.754197984967217
75,114443,147353,Manhattan,East Harlem South,32910,1.2875667362791958,28.756673627919575
76,26406,17812,Brooklyn,East New York,-8594,0.6745436643187155,-32.54563356812846
77,7220,4528,Brooklyn,East New York/Pennsylvania Avenue,-2692,0.6271468144044321,-37.285318559556785
78,5598,3495,Bronx,East Tremont,-2103,0.6243301178992497,-37.566988210075024
79,164345,230801,Manhattan,East Village,66456,1.4043688581946514,40.436885819465154
80,10422,10970,Brooklyn,East Williamsburg,548,1.0525810784878142,5.258107848781424
81,4094,1961,Bronx,Eastchester,-2133,0.4789936492427943,-52.10063507572057
82,6780,8179,Queens,Elmhurst,1399,1.2063421828908554,20.634218289085545
83,3910,3682,Queens,Elmhurst/Maspeth,-228,0.9416879795396419,-5.831202046035806
84,11,5,Staten Island,Eltingville/Annadale/Prince's Bay,-6,0.45454545454545453,-54.54545454545454
85,7893,5882,Brooklyn,Erasmus,-2011,0.745217281135183,-25.47827188648169
86,5162,3259,Queens,Far Rockaway,-1903,0.6313444401394808,-36.865555986051916
87,55470,102076,Manhattan,Financial District North,46606,1.840201910942852,84.0201910942852
88,21255,67115,Manhattan,Financial District South,45860,3.157609974123736,215.76099741237357
89,20479,14908,Brooklyn,Flatbush/Ditmas Park,-5571,0.7279652326773768,-27.203476732262317
90,136491,224265,Manhattan,Flatiron,87774,1.6430753676066554,64.30753676066554
91,13450,8413,Brooklyn,Flatlands,-5037,0.6255018587360595,-37.44981412639405
92,2945,4125,Queens,Flushing,1180,1.400679117147708,40.0679117147708
93,1329,5241,Queens,Flushing Meadows-Corona Park,3912,3.943566591422122,294.3566591422122
94,2328,1349,Bronx,Fordham South,-979,0.5794673539518901,-42.053264604811
95,8668,8624,Queens,Forest Hills,-44,0.9949238578680203,-0.5076142131979695
96,322,321,Queens,Forest Park/Highland Park,-1,0.9968944099378882,-0.3105590062111801
97,13992,18688,Brooklyn,Fort Greene,4696,1.335620354488279,33.562035448827906
98,961,911,Queens,Fresh Meadows,-50,0.9479708636836629,-5.202913631633715
99,3,3,Staten Island,Freshkills Park,0,1.0,0.0
